ds,VIC_ROOFTOP_SOLAR,VIC_SOLAR,VIC_WIND,VIC_HYDRO,VIC_BATTERY,VIC_GAS_OCGT,VIC_GAS_STEAM,VIC_BROWN_COAL,VIC_TEMP,y,VIC_NETINTERCHANGE,VIC_DEMAND
21/11/2019 10:00,1051.39,238.99,1035.6,33.32,7.85,202.81,0,4170.75,33.85,63.75,641.12,7381.83
21/11/2019 10:30,1112.22,218.22,901.3,142.64,3.25,233.08,0,4167.71,34.45,69.93,751.06,7529.48
21/11/2019 11:00,1123.21,220.03,876.07,307.67,1.63,234.06,0,4158.01,35.08,70,774.44,7695.12
21/11/2019 11:30,1166.9,216.65,775.7,572.78,2.74,255.6,0,4152.84,36.04,73.02,826.25,7969.46
21/11/2019 12:00,1129.69,209.23,717.35,589.14,6.93,237.41,0,4137.53,37.25,77.48,1083.5,8110.78
21/11/2019 12:30,1039.71,183.63,817.6,597.89,2.35,226.1,0,4126.99,38.08,84.89,1215.99,8210.26
21/11/2019 13:00,948.89,150.27,919.33,804.8,10.06,246.13,0,4040.68,38.58,89.38,1205.68,8325.84
21/11/2019 13:30,876.96,167.72,991.84,980.91,1.41,269.22,0,4031.32,40.36,139.8,1230.24,8549.62
21/11/2019 14:00,770.09,186.71,1042.57,941.06,1.71,367.22,0,4090.8,38.92,123.11,1173.24,8573.4
21/11/2019 14:30,551.47,175.93,981.78,1115.09,6.43,397.86,0,4095.16,31.69,137.09,1215.22,8538.94
21/11/2019 15:00,426.4,191.22,1039.08,1026.37,0,398.01,0,4082.18,26.7,102.29,1061.91,8225.17
21/11/2019 15:30,431.65,202.68,1058.39,799.49,3.85,393.02,0,4090.35,24.24,71.37,683.72,7663.15
21/11/2019 16:00,430.53,181.34,1026.63,588.94,0,365.75,0,4090.48,20.63,69.12,529.32,7212.99
21/11/2019 16:30,369.31,152.28,1059.34,719.06,0,369.44,0,4099.24,19.12,70,109.82,6878.49
21/11/2019 17:00,283.83,116.44,1023.6,925.93,3.45,361.44,0,4103.33,18.49,58.46,-223.66,6594.36
21/11/2019 17:30,212.97,126.85,1009.1,712.02,7.49,377.03,0,4115.2,18.3,65.02,-164.47,6396.19
21/11/2019 18:00,169.04,136.17,1025.96,563.19,5.16,346.15,0,4137.85,18.11,70,-163.93,6219.59
21/11/2019 18:30,139.22,88.32,1014.34,576.18,4.4,389.41,0,4141.05,17.83,70,-428.86,5924.06
21/11/2019 19:00,98.57,39.96,891.59,753.46,7.05,359.3,0,4134.13,17.51,70.79,-515.27,5768.79
21/11/2019 19:30,38.47,8.39,831.03,847.58,3.95,234.43,0,4141.85,17.05,71.08,-570.16,5535.54
21/11/2019 20:00,6.7,2.93,851.64,801.31,4.5,240.61,0,4135.14,16.6,71.8,-584.45,5458.38
21/11/2019 20:30,0.4,0.04,821.98,607.02,1.79,235.46,0,4130.9,15.91,70.28,-359.01,5438.58
21/11/2019 21:00,0,0,780.4,559.04,2.17,260.67,0,4131.19,15.54,70,-353.36,5380.11
21/11/2019 21:30,0,0,825.52,313.31,3.01,226.86,0,4140.92,15.41,66.81,-299.69,5209.93
21/11/2019 22:00,0,0,813.12,247,17.68,200.57,0,4146.28,15.32,56.89,-402.61,5022.04
